id,Foundation,FirstFlrSF,KitchenQual,Fireplaces,HeatingQC,FullBath,BsmtQual,OpenPorchSF,GarageYrBlt,ExterQual,OverallQual,BsmtFinType1,YearBuilt,GarageArea,TotRmsAbvGrd,GarageCars,GrLivArea,YearRemodAdd,LotFrontage,SalePrice
271,1,1363,3,2,0,1,2,0,1954.0,3,7,3,63,439,5,2,1363,12,73.0,241500
272,2,1164,2,1,0,2,2,57,1999.0,2,8,2,18,671,9,3,2270,10,92.0,290000
273,1,1632,3,1,2,2,3,0,1958.0,3,6,4,59,338,6,1,1632,29,80.0,139000
274,1,816,3,0,4,1,3,0,1982.0,3,5,0,35,264,5,1,816,35,76.0,124500
275,0,952,0,0,2,2,3,0,1978.0,2,7,5,92,672,5,2,1548,10,55.0,205000
276,2,1560,2,0,0,2,0,150,2003.0,2,7,5,14,573,7,2,1560,14,129.0,201000
277,1,864,3,0,0,1,3,0,1951.0,3,4,3,66,400,4,2,864,66,140.0,141000
278,2,2121,0,1,0,2,0,98,2007.0,0,9,5,11,732,8,3,2121,10,107.0,415298
279,1,1156,3,1,0,2,2,117,1977.0,3,7,1,40,505,8,2,2022,40,83.0,192000
280,1,1175,2,1,2,2,2,84,1989.0,2,7,2,28,575,7,2,1982,28,82.0,228500
281,2,1262,2,0,2,2,2,120,2006.0,2,6,2,11,572,5,2,1262,11,60.0,185000
282,2,1314,2,1,0,2,2,62,2008.0,2,7,2,10,626,6,2,1314,9,34.0,207500
283,2,1468,2,1,0,2,2,150,2008.0,2,8,5,9,898,6,3,1468,8,74.0,244600
284,2,1575,2,0,2,2,2,0,1992.0,2,6,2,25,529,5,2,1575,25,50.0,179200
285,2,625,2,0,0,2,2,54,2006.0,2,7,5,11,528,5,2,1250,10,35.0,164700
286,1,1085,2,1,4,1,3,0,1962.0,3,6,4,55,440,7,2,1734,36,77.0,159000
287,1,858,3,0,4,1,3,0,1978.5061638868744,3,4,1,46,0,5,0,858,46,70.04995836802665,88000
288,1,900,3,0,4,1,3,0,1970.0,3,5,1,50,280,5,1,900,50,70.04995836802665,122000
289,0,698,3,0,0,1,3,0,2003.0,3,6,5,102,384,7,1,1396,14,60.0,153575
290,2,1079,2,1,0,2,2,51,2006.0,2,8,5,11,685,8,2,1919,11,120.0,233230
291,2,936,1,0,0,2,3,184,1978.5061638868744,3,5,4,105,0,9,0,1716,17,55.0,135900
292,1,1148,3,1,2,1,3,0,1949.0,3,5,3,68,281,8,1,1716,9,60.0,131000
293,1,1468,2,1,1,2,3,250,1977.0,3,7,0,40,539,9,2,2263,23,70.04995836802665,235000
294,1,1644,3,2,4,1,3,0,1953.0,3,6,2,64,418,7,2,1644,64,80.0,167000
295,1,1003,3,0,4,1,3,0,1984.0,3,6,2,33,588,6,2,1003,33,37.0,142500
296,1,910,3,0,4,1,3,0,1950.0,3,5,1,67,282,6,1,1558,67,75.0,152000
297,2,975,2,1,0,2,2,10,1997.0,2,7,1,20,576,7,2,1950,19,66.0,239000
298,1,1041,3,1,2,1,3,0,1968.0,2,6,0,49,539,7,2,1743,49,90.0,175000
299,1,1152,2,1,0,1,3,36,1950.0,3,6,5,67,300,6,1,1152,13,80.0,158500
300,1,1336,3,2,4,1,3,0,1953.0,3,5,1,64,375,5,1,1336,64,90.0,157000
301,2,1210,2,1,0,2,2,50,1998.0,2,8,2,19,683,9,2,2452,18,66.0,267000
302,2,1541,2,1,0,2,2,81,2001.0,2,7,5,16,843,6,3,1541,15,118.0,205000
303,2,894,3,0,4,1,3,0,1975.0,3,5,0,45,552,5,2,894,45,70.0,149900
304,0,1675,2,1,0,3,3,0,2003.0,3,7,5,137,870,10,3,3493,15,87.0,295000
305,2,2000,2,0,0,2,2,0,2004.0,2,8,2,13,888,8,3,2000,12,80.0,305900
306,1,1122,2,1,2,2,2,44,1990.0,2,7,0,27,746,8,3,2243,26,116.0,225000
307,1,1035,1,0,4,1,3,144,1978.5061638868744,3,6,5,97,0,6,0,1406,67,70.04995836802665,89500
308,1,861,3,0,0,1,3,0,1961.0,3,4,1,77,539,4,2,861,67,70.04995836802665,82500
309,2,1944,0,3,0,2,0,175,2003.0,2,9,2,14,708,8,3,1944,13,90.0,360000
310,2,697,2,1,2,2,2,63,1993.0,3,6,0,24,420,6,2,1501,23,70.04995836802665,165600
311,1,972,3,1,0,1,3,0,1948.0,3,6,0,69,240,5,1,972,15,50.0,132000
312,1,793,3,1,4,1,2,0,1939.0,3,5,4,78,410,5,2,1118,67,65.0,119900
313,1,2036,3,2,4,2,2,0,1965.0,3,7,0,52,513,8,2,2036,52,150.0,375000
314,0,832,0,1,0,1,3,0,1925.0,3,7,3,92,546,6,2,1641,27,60.0,178000
315,2,716,2,1,0,2,2,51,2004.0,2,7,2,13,432,6,2,1432,12,71.0,188500
316,1,1153,0,1,4,2,2,195,1983.0,2,7,2,37,484,10,2,2353,37,94.0,260000
317,2,1088,2,1,0,2,2,46,2006.0,2,8,5,11,1025,8,3,1959,11,75.0,270000
318,2,1372,2,1,0,2,2,60,1993.0,2,7,2,24,656,9,3,2646,24,90.0,260000
319,1,1472,3,2,4,2,2,48,1980.0,3,7,2,37,588,6,2,1472,37,70.04995836802665,187500
320,2,1249,2,0,0,3,0,154,2006.0,3,9,5,11,840,9,3,2596,11,111.0,342643
321,2,1136,2,1,0,2,0,154,2004.0,2,8,2,13,872,10,3,2468,13,99.0,354000
322,1,1553,2,1,0,2,3,96,1987.0,2,7,3,31,576,8,2,2730,30,86.0,301000
323,1,1163,3,0,0,1,3,98,1955.0,3,3,0,62,220,6,1,1163,12,49.0,126175
324,1,1898,2,1,0,2,2,0,1961.0,2,7,5,50,564,11,2,2978,10,96.0,242000
325,1,803,3,0,3,1,3,0,1941.0,3,5,1,76,360,5,2,803,67,50.0,87000
326,2,1719,2,2,0,1,2,30,1993.0,2,8,2,24,473,6,2,1719,24,32.0,324000
327,1,1383,3,0,4,1,3,45,1960.0,3,6,4,57,292,7,1,1383,57,80.0,145250
328,0,1445,2,0,2,2,3,60,1930.0,3,6,5,101,441,10,2,2134,23,70.04995836802665,214500
329,2,596,3,0,4,1,3,0,1920.0,3,5,5,97,189,6,1,1192,67,60.0,78000
330,1,1728,3,0,4,2,3,0,2002.0,3,5,2,53,352,10,1,1728,53,70.04995836802665,119000
331,1,1056,3,0,1,1,3,0,1958.0,3,5,4,59,308,6,1,1056,25,70.0,139000
332,2,1629,2,1,0,2,2,0,2003.0,2,8,2,14,880,7,3,1629,13,85.0,284000
333,2,1358,2,1,0,2,2,30,2004.0,2,7,2,13,484,6,2,1358,13,59.0,207000
334,2,943,3,2,2,2,2,38,1998.0,3,6,2,19,472,7,2,1638,19,59.0,192000
335,1,1619,3,2,0,2,3,0,1965.0,3,5,0,52,529,7,2,1786,52,70.04995836802665,228950
336,2,1922,2,1,0,2,0,51,2005.0,2,9,2,12,676,8,3,1922,11,86.0,377426
337,2,1536,2,0,0,2,2,74,2002.0,2,7,2,15,532,7,2,1536,14,70.0,214000
338,1,1621,2,0,0,2,2,45,1984.0,2,7,0,33,440,8,2,1621,19,91.0,202500
339,1,1215,3,0,4,1,3,0,1958.0,3,6,4,59,297,6,1,1215,19,66.0,155000
340,2,993,2,0,0,2,2,0,2002.0,2,8,5,15,431,9,2,1908,15,85.0,202900
341,1,841,3,0,2,1,3,0,1950.0,1,4,5,67,294,4,1,841,67,60.0,82000
342,3,1040,3,0,1,2,3,0,1949.0,3,3,5,68,400,6,2,1040,67,70.04995836802665,87500
343,2,1684,0,1,0,2,0,72,2005.0,0,9,2,12,564,6,2,1684,12,63.0,266000
344,1,536,3,0,4,1,2,0,1976.0,3,5,4,41,336,4,1,1112,41,36.0,85000
345,0,972,1,1,2,1,3,0,1939.0,3,6,5,78,312,6,1,1577,67,65.0,140200
346,1,958,3,0,4,1,3,0,1960.0,3,6,1,57,301,5,1,958,19,70.04995836802665,151500
347,1,1478,3,2,0,2,3,40,1960.0,3,6,1,57,498,6,2,1478,57,70.04995836802665,157500
348,2,764,2,0,0,2,2,27,2003.0,2,7,2,14,474,6,2,1626,13,36.0,154000
349,2,1848,0,2,0,2,0,0,2006.0,0,9,2,12,706,10,3,2728,11,56.0,437154
350,2,1869,0,1,0,2,0,54,2007.0,0,9,5,10,617,6,2,1869,10,68.0,318061
351,2,1453,2,1,2,1,2,80,1986.0,3,7,2,31,445,6,2,1453,31,70.04995836802665,190000
352,1,616,3,0,4,1,3,0,1941.0,3,5,3,76,200,5,1,1111,67,60.0,95000
353,0,720,3,0,2,1,3,0,2005.0,3,6,5,89,484,5,2,720,14,60.0,105900
354,1,1192,3,2,0,1,3,0,1940.0,3,6,3,77,240,6,1,1595,17,60.0,140000
355,2,1200,2,0,0,2,2,26,1995.0,2,6,0,22,521,6,2,1200,22,105.0,177500
356,2,1167,2,0,2,2,2,26,1992.0,3,6,2,25,400,6,2,1167,25,70.04995836802665,173000
357,2,1142,3,1,4,1,2,90,1976.0,3,5,0,41,528,6,2,1142,41,44.0,134000
358,1,1352,2,0,0,1,3,0,1958.0,3,5,1,59,288,6,1,1352,59,92.0,130000
359,2,1086,2,1,0,2,2,75,1998.0,2,8,2,19,592,7,2,1924,19,78.0,280000
360,1,912,3,1,0,1,2,0,1978.0,3,6,2,39,470,5,2,912,39,70.04995836802665,156000
361,1,988,3,0,2,1,3,0,1940.0,3,5,4,77,240,8,1,1505,35,70.04995836802665,145000
362,3,495,2,1,0,3,3,0,2003.0,2,7,5,14,672,7,2,1922,14,64.0,198500
363,1,483,2,0,2,1,3,0,1972.0,3,6,0,45,264,5,1,987,10,21.0,118000
364,2,790,3,1,4,2,2,111,1976.0,3,6,2,41,566,6,2,1574,41,70.04995836802665,190000
365,1,672,3,0,2,1,3,128,1964.0,3,5,4,97,468,6,1,1344,20,59.0,147000
366,1,1394,3,2,2,1,2,76,1963.0,3,6,1,54,514,6,2,1394,54,70.04995836802665,159000
367,1,1431,3,1,2,1,2,110,1962.0,3,6,2,55,296,6,1,1431,55,101.0,165000
368,2,1268,3,1,2,1,3,98,1954.0,3,5,3,63,244,7,1,1268,63,78.0,132000
369,1,1287,2,1,0,1,3,17,1997.0,3,5,0,58,576,7,2,1287,11,70.04995836802665,162000
370,2,953,3,1,0,2,2,40,2000.0,3,6,5,17,460,7,2,1664,17,70.04995836802665,172400
371,1,1120,3,1,4,2,3,59,1991.0,3,4,5,58,680,7,2,1588,58,80.0,134432
372,1,752,3,0,4,1,2,0,1984.0,3,6,0,33,264,4,1,752,33,50.0,125000
373,2,1319,3,0,4,1,3,0,1953.0,3,5,1,64,270,5,1,1319,64,79.0,123000
374,2,847,2,1,0,2,2,48,2003.0,2,7,5,14,434,8,2,1928,13,65.0,219500
375,0,904,1,0,2,0,1,0,1978.5061638868744,1,1,1,95,0,4,0,904,67,70.04995836802665,61000
376,2,914,3,0,0,1,2,0,1998.0,2,5,2,21,576,5,2,914,21,57.0,148000
377,2,1580,2,1,0,3,2,214,2004.0,2,8,5,13,610,8,2,2466,12,102.0,340000
378,2,1856,0,1,0,1,0,0,2010.0,2,9,2,7,834,8,3,1856,7,88.0,394432
379,2,1007,3,1,0,2,2,63,2000.0,3,6,5,17,463,7,2,1800,17,60.0,179000
380,0,1026,2,1,4,2,3,0,1924.0,3,5,3,93,308,6,1,1691,67,50.0,127000
381,2,1301,2,1,0,2,2,121,2006.0,2,7,5,11,572,5,2,1301,11,60.0,187750
382,2,939,2,0,0,2,2,53,2006.0,2,7,5,11,639,8,2,1797,11,79.0,213500
383,0,784,3,0,4,1,1,0,1950.0,3,6,5,89,360,5,2,784,67,60.0,76000
384,2,1079,2,2,0,2,2,231,1992.0,2,6,2,25,501,9,2,1953,25,70.04995836802665,240000
385,2,1269,2,1,0,2,2,20,2004.0,2,8,2,13,430,6,2,1269,12,43.0,192000
386,2,658,3,0,4,1,3,151,1978.5061638868744,3,5,5,107,0,8,0,1184,21,58.0,81000
387,1,1125,3,1,0,1,3,0,1977.0,3,6,0,41,352,6,1,1125,41,72.0,125000
388,2,1479,2,0,0,2,2,25,1999.0,2,7,5,18,577,6,2,1479,17,93.0,191000
389,2,1742,0,1,0,2,0,134,2008.0,0,10,2,10,846,9,3,2332,9,96.0,426000
390,0,961,3,0,0,1,3,130,1978.0,3,5,4,117,384,7,1,1367,67,50.0,119000
391,2,804,2,1,0,2,0,192,2001.0,3,6,0,16,560,7,2,1961,15,71.0,215000
392,3,882,3,0,4,1,3,0,1959.0,3,5,5,58,294,5,1,882,58,70.04995836802665,106500
393,1,788,3,2,4,1,3,0,1978.5061638868744,3,4,4,76,0,4,0,788,67,70.04995836802665,100000
394,1,735,3,0,2,1,3,39,1940.0,3,5,5,77,240,5,1,1034,67,60.0,109000
395,1,1144,3,0,4,1,3,0,1956.0,3,5,1,61,596,6,1,1144,61,68.0,129000
396,1,894,3,0,4,1,3,0,1985.0,3,5,4,45,600,6,2,894,45,60.0,123000
397,1,876,3,1,4,2,3,168,1962.0,3,5,0,55,264,8,1,1812,55,69.0,169500
398,0,1077,3,0,2,1,1,0,1920.0,3,5,5,97,338,6,1,1077,67,60.0,67000
399,2,1112,2,0,0,2,2,168,2007.0,2,7,2,11,438,7,2,1550,10,65.0,241000
400,2,1288,0,2,0,1,2,30,1996.0,2,8,2,21,500,4,2,1288,21,38.0,245500
401,2,1310,2,1,0,2,2,0,2005.0,2,7,2,12,400,6,2,1310,12,65.0,164990
402,2,672,3,0,0,1,3,0,1940.0,3,5,5,77,240,4,1,672,20,60.0,108000
403,2,1165,2,1,2,2,2,123,1998.0,2,8,5,19,420,10,2,2263,19,93.0,258000
404,2,806,3,1,2,2,2,40,1995.0,3,6,5,22,373,7,2,1572,21,70.04995836802665,168000
405,1,1620,3,1,0,2,3,78,1993.0,3,4,1,41,490,8,2,1620,24,70.04995836802665,150000
406,0,1166,3,0,0,1,3,0,1936.0,3,6,5,81,240,6,1,1639,67,51.0,115000
407,0,840,3,0,0,2,2,0,1960.0,3,6,5,102,308,8,1,1680,41,63.0,177000
408,2,1071,2,1,0,2,0,62,2006.0,2,7,5,11,947,9,3,2172,11,109.0,280000
409,2,1050,0,1,0,2,0,102,2008.0,2,8,2,10,836,8,3,2078,9,85.0,339750
410,1,1276,3,0,4,1,3,0,1958.0,3,5,5,59,350,5,1,1276,59,68.0,60000
411,1,1056,3,0,4,1,3,0,1955.0,3,5,4,62,572,5,2,1056,62,100.0,145000
412,2,1478,2,1,0,2,0,144,2009.0,0,7,2,8,484,7,2,1478,8,70.04995836802665,222000
413,1,1028,3,1,2,1,3,0,1927.0,3,5,5,90,360,5,2,1028,67,56.0,115000
414,2,1080,2,1,0,2,2,187,1993.0,2,7,1,24,678,9,3,2097,24,59.0,228000
415,2,1340,2,0,0,2,2,30,2007.0,2,7,2,10,396,6,2,1340,10,73.0,181134
416,1,672,3,1,4,1,3,0,1978.0,3,6,0,39,440,6,2,1400,39,74.0,149500
417,0,1370,3,1,4,2,2,0,1918.0,3,6,1,99,864,10,3,2624,67,86.0,239000
418,0,756,3,0,1,1,3,0,1940.0,3,5,0,77,240,7,1,1134,67,60.0,126000
419,1,1056,3,1,0,1,3,85,1968.0,3,5,1,49,304,6,1,1056,49,65.0,142000
420,2,1344,3,0,0,2,2,0,1997.0,3,7,2,20,784,8,4,1344,19,78.0,206300
421,1,1602,2,1,2,2,2,0,1977.0,2,6,0,40,529,8,2,1602,17,70.04995836802665,215000
422,1,988,3,0,0,1,3,0,1954.0,3,5,5,63,520,4,2,988,63,100.0,113000
423,2,1470,2,1,2,2,2,66,1998.0,2,8,2,19,696,8,3,2630,19,80.0,315000
424,1,1196,3,1,2,1,2,44,1956.0,3,6,3,61,297,6,1,1196,61,72.0,139000
425,1,707,3,2,2,1,3,0,1947.0,3,7,5,71,240,6,1,1389,25,60.0,135000
426,2,1644,2,1,2,2,2,0,1989.0,2,7,2,28,569,5,2,1644,28,70.04995836802665,275000
427,1,907,3,0,0,1,3,0,1964.0,3,4,4,60,352,5,1,907,60,77.0,109008
428,2,1208,2,0,0,2,2,54,2007.0,2,7,2,10,628,6,2,1208,10,64.0,195400
429,1,1412,2,1,4,2,2,0,1988.0,3,6,2,29,576,6,2,1412,29,130.0,175000
430,1,483,3,0,4,1,3,0,1971.0,3,6,0,46,264,4,1,987,46,21.0,85400
431,0,1088,3,0,2,1,3,98,1978.5061638868744,3,6,5,97,0,7,0,1198,19,60.0,79900
432,1,765,3,0,0,1,3,36,1971.0,3,5,0,46,440,6,2,1365,46,24.0,122500
433,2,926,3,1,0,2,2,36,1997.0,3,6,5,20,470,7,2,1604,19,100.0,181000
434,1,630,3,0,2,1,2,0,1978.5061638868744,3,4,0,45,0,3,0,630,45,21.0,81000
435,2,827,2,1,0,2,2,61,1996.0,2,7,2,21,550,6,2,1661,21,43.0,212000
436,0,734,3,0,4,1,1,0,1990.0,3,6,5,97,440,6,2,1118,67,40.0,116000
437,2,904,3,0,2,1,3,0,1926.0,2,6,5,91,180,4,1,904,13,50.0,119000
438,2,694,2,1,4,1,3,0,1990.0,3,5,3,104,352,4,1,694,15,40.0,90350
439,0,684,2,0,2,1,3,46,2005.0,3,6,5,97,528,7,2,1196,17,67.0,110000
440,2,2402,0,2,0,2,0,72,2008.0,0,10,2,9,672,10,3,2402,9,105.0,555000
441,1,1440,1,0,4,2,3,0,1978.5061638868744,3,4,0,62,0,8,0,1440,62,92.0,118000
442,2,1128,3,1,4,2,3,0,1930.0,3,5,5,87,360,8,2,1573,25,52.0,162900
443,2,1258,2,1,0,2,0,16,2007.0,2,7,5,11,648,6,3,1258,10,53.0,172500
444,2,933,2,1,0,2,2,133,1994.0,2,7,2,23,493,8,2,1908,22,70.0,210000
445,1,1689,3,1,1,1,3,0,1956.0,3,6,5,61,480,7,2,1689,61,73.0,127500
446,1,1888,2,1,0,2,3,0,1966.0,2,6,0,51,578,6,2,1888,15,137.0,190000
447,2,956,2,1,2,2,2,0,1998.0,2,7,5,19,431,10,2,1886,18,70.04995836802665,199900
448,0,780,3,1,4,2,3,0,1937.0,3,6,5,80,198,7,1,1376,67,50.0,119500
449,1,679,3,0,0,1,3,176,1981.0,3,3,0,69,308,6,1,1183,15,50.0,120000
450,0,813,2,0,0,1,3,113,1932.0,3,6,5,87,270,5,1,813,12,70.0,110000
451,1,1533,2,2,4,2,2,54,1975.0,3,7,0,42,576,5,2,1533,42,62.0,280000
452,2,888,3,0,0,2,0,122,1996.0,2,6,0,21,422,7,2,1756,20,70.04995836802665,204000
453,2,786,2,0,0,2,2,30,2008.0,2,8,5,9,676,6,2,1590,9,75.0,210000
454,1,1728,3,0,4,2,3,0,1976.0,3,5,0,41,560,8,2,1728,41,63.0,188000
455,1,1242,3,1,1,1,3,0,1973.0,3,7,0,44,528,6,2,1242,44,80.0,175500
456,0,624,3,0,1,1,3,0,1916.0,3,5,5,101,513,7,3,1344,67,34.0,98000
457,1,1663,2,2,0,1,2,137,1954.0,3,4,1,63,529,6,2,1663,23,70.04995836802665,256000
458,2,833,2,1,1,1,3,63,1925.0,3,8,5,92,228,7,1,1666,21,70.04995836802665,161000
459,1,979,2,1,4,1,3,0,1950.0,3,5,3,67,352,5,1,1203,67,70.04995836802665,110000
460,2,832,3,0,0,2,2,150,2009.0,2,8,2,8,552,8,2,1935,8,75.0,263435
461,2,575,2,0,0,1,2,0,1971.0,2,7,0,81,576,6,2,1135,10,60.0,155000
462,1,864,3,1,2,1,3,0,1965.0,3,5,4,52,360,5,1,864,52,60.0,62383
463,1,849,3,1,1,1,3,0,1939.0,3,6,3,83,240,6,1,1660,22,74.0,188700
464,1,1040,3,0,4,2,2,0,1978.5061638868744,3,5,4,39,0,5,0,1040,39,60.0,124000
465,2,1414,2,1,0,2,2,20,2004.0,2,7,5,13,398,6,2,1414,13,70.04995836802665,178740
466,1,1277,3,1,4,1,3,0,1970.0,3,7,2,47,526,5,2,1277,47,85.0,167000
467,1,888,2,2,0,1,3,0,1942.0,3,5,3,75,312,7,1,1644,22,79.0,146500
468,2,1634,2,1,0,2,2,44,2006.0,2,8,5,11,866,7,3,1634,11,98.0,250000
469,2,832,2,0,0,2,2,70,1993.0,2,6,2,24,506,7,2,1710,24,76.0,187000
470,2,1502,2,0,4,1,2,54,1985.0,2,8,2,32,528,4,2,1502,32,70.04995836802665,212000
471,1,1161,3,1,4,2,2,0,1977.0,3,7,5,40,534,8,2,1969,40,92.0,190000
472,2,1072,3,0,0,1,2,28,2005.0,3,6,2,12,525,5,2,1072,12,35.0,148000
473,2,1976,2,1,0,2,0,63,2006.0,2,8,2,11,908,7,3,1976,10,110.0,440000
474,2,1652,0,0,0,2,2,48,2000.0,2,8,2,17,499,6,2,1652,17,41.0,251000
475,1,970,3,0,4,1,3,24,1996.0,3,5,2,54,624,5,2,970,54,80.0,132500
476,2,1493,2,1,0,2,2,39,1997.0,3,6,2,20,508,7,2,1493,19,75.0,208900
477,2,2069,0,1,0,2,2,84,2006.0,0,9,5,11,694,9,3,2643,11,105.0,380000
478,2,1718,2,1,0,2,0,44,2007.0,2,8,2,10,826,7,3,1718,9,79.0,297000
479,0,1131,3,0,4,1,1,72,1995.0,3,4,4,80,672,7,2,1131,17,50.0,89471
480,2,1850,2,1,0,2,0,112,2004.0,2,9,2,13,772,8,3,1850,12,98.0,326000
481,2,1792,0,1,0,2,0,49,2003.0,2,9,2,14,874,6,3,1792,13,72.0,374000
482,2,916,0,1,0,1,3,0,1915.0,2,7,0,102,164,7,1,1826,12,50.0,155000
483,2,1216,3,0,0,2,0,125,1998.0,3,6,2,19,402,5,2,1216,19,32.0,164000
484,1,999,2,0,2,1,3,132,1963.0,3,5,0,55,264,6,1,999,16,70.04995836802665,132500
485,1,1113,2,1,2,1,3,80,1950.0,2,5,0,67,264,5,1,1113,10,80.0,147000
486,1,1073,3,0,4,1,3,0,1965.0,3,5,0,52,515,6,2,1073,52,79.0,156000
487,1,1484,3,1,2,2,2,0,1971.0,3,5,0,46,487,7,2,1484,46,70.0,175000
488,1,1766,3,1,4,2,3,0,1970.0,3,5,1,117,520,10,2,2414,47,60.0,160000
489,1,630,2,0,4,1,2,0,1970.0,3,4,2,47,286,3,1,630,15,21.0,86000
490,2,616,3,1,4,1,2,24,1976.0,3,5,5,41,336,4,1,1304,41,70.04995836802665,115000
491,1,958,1,2,4,1,3,0,1941.0,3,6,1,76,240,5,1,1578,67,79.0,133000
492,2,728,3,0,2,2,2,0,2006.0,2,6,5,11,429,8,2,1456,11,105.0,172785
493,1,1269,3,1,4,1,3,0,1964.0,3,5,1,57,308,6,1,1269,57,70.0,155000
494,0,886,3,0,2,1,1,20,1938.0,3,5,5,79,273,4,1,886,21,50.0,91300
495,1,720,3,0,4,1,3,523,1978.5061638868744,3,4,4,97,0,4,0,720,67,60.0,34900
496,2,3228,2,1,0,3,2,75,1992.0,2,8,2,25,546,10,2,3228,24,70.04995836802665,430000
497,2,1133,3,0,0,2,3,100,1925.0,3,7,4,92,240,8,1,1820,67,60.0,184000
498,2,899,2,0,0,1,3,0,1967.0,3,5,0,50,288,5,1,899,13,65.0,130000
499,1,912,3,0,1,1,3,285,1958.0,3,5,1,59,297,5,1,912,32,70.0,120000
500,1,672,3,0,4,1,3,28,1973.0,3,6,1,44,264,7,1,1218,44,21.0,113000
501,2,866,2,0,2,2,2,108,2005.0,2,7,2,12,603,7,2,1768,12,75.0,226700
502,1,1214,3,0,0,1,3,0,1965.0,3,5,0,52,461,6,2,1214,52,70.0,140000
503,1,1801,3,2,4,2,3,54,1959.0,3,7,0,58,484,6,2,1801,20,100.0,289000
504,1,855,3,1,4,2,3,0,1974.0,3,6,0,43,440,6,2,1322,43,24.0,147000
505,1,960,3,0,2,2,3,0,1952.0,3,5,5,65,400,10,2,1960,65,60.0,124500
506,2,1065,2,1,0,2,2,81,1993.0,2,8,2,24,471,8,2,1911,23,80.0,215000
507,2,1218,2,0,0,2,2,102,2009.0,2,6,2,8,676,4,2,1218,8,75.0,208300
508,0,689,2,1,0,2,3,0,1928.0,3,7,4,89,360,7,2,1378,12,60.0,161000
509,1,1041,3,0,0,1,3,88,1959.0,3,5,0,58,270,6,1,1041,58,80.0,124500
510,1,1363,3,2,0,1,3,42,1951.0,2,5,1,66,288,6,1,1363,17,75.0,164900
511,2,1368,2,1,0,2,2,35,2005.0,2,7,5,12,474,6,2,1368,11,40.0,202665
512,1,864,3,0,4,1,3,0,1964.0,3,5,1,59,624,5,2,864,59,70.0,129900
513,2,1080,3,0,4,1,3,0,1983.0,3,6,0,34,484,5,2,1080,34,71.0,134000
514,0,789,3,0,1,1,3,0,1926.0,3,5,5,91,200,5,1,789,67,55.0,96500
515,1,2020,0,1,0,2,0,54,2009.0,0,10,2,8,900,9,3,2020,8,94.0,402861
516,1,1378,3,1,4,2,3,104,1972.0,3,6,5,45,583,7,2,2119,45,70.04995836802665,158000
517,2,1277,2,1,0,2,2,0,1996.0,2,7,5,21,889,7,3,2344,20,79.0,265000
518,2,882,3,0,0,2,2,36,1998.0,3,6,2,19,546,7,2,1796,19,70.04995836802665,211000
519,0,1276,2,2,0,1,2,0,1926.0,2,7,5,91,282,9,1,2080,13,53.0,234000
520,0,694,3,0,4,2,3,114,1978.5061638868744,3,4,5,117,0,7,0,1294,17,60.0,106250
521,1,1244,3,2,0,1,3,40,1957.0,3,6,4,60,336,6,1,1244,60,90.0,150000
522,1,1004,3,2,0,2,3,24,1950.0,3,6,0,70,420,7,2,1664,67,50.0,159000
523,2,3138,0,1,0,3,0,406,2007.0,0,10,2,10,884,11,3,4676,9,130.0,184750
524,2,1383,2,1,0,2,2,60,1996.0,2,7,2,21,834,8,3,2398,20,95.0,315750
525,2,1266,2,1,0,2,2,144,2005.0,2,7,5,12,453,6,2,1266,12,62.0,176000
526,1,928,3,0,4,1,2,0,1956.0,3,5,4,61,252,4,1,928,17,70.0,132000
527,2,1476,0,1,0,2,0,66,2008.0,0,9,2,9,858,11,3,2713,9,67.0,446261
528,0,605,3,0,0,1,3,0,1978.5061638868744,3,4,0,97,0,5,0,605,15,58.0,86000
529,2,2515,3,2,4,3,3,0,1975.0,2,6,4,60,484,9,2,2515,42,70.04995836802665,200624
530,1,1509,2,1,0,2,2,0,1988.0,2,6,2,29,600,5,2,1509,28,85.0,175000
531,0,751,3,0,0,2,1,0,1920.0,3,6,5,97,502,6,2,1362,18,60.0,128000
532,3,827,3,1,0,1,3,0,1967.0,3,5,5,62,392,5,1,827,10,60.0,107500
533,3,334,1,0,1,1,3,0,1978.5061638868744,1,1,5,71,0,2,0,334,67,50.0,39300
534,2,707,2,1,0,2,0,35,2004.0,2,8,5,13,403,6,2,1414,13,74.0,178000
535,1,820,3,0,4,1,2,0,1978.5061638868744,3,5,2,107,0,5,0,1347,26,70.0,107500
536,2,880,2,0,0,2,2,155,1998.0,3,7,5,19,527,8,2,1724,18,57.0,188000
537,1,864,3,0,4,1,3,0,1980.0,3,4,1,45,576,5,2,864,45,70.04995836802665,111250
538,1,1159,3,1,4,1,3,0,1968.0,3,5,1,49,336,7,1,1159,49,70.04995836802665,158000
539,2,1601,2,1,0,2,2,0,2001.0,2,8,2,16,670,6,2,1601,15,70.04995836802665,272000
540,2,1838,0,1,0,2,0,68,2006.0,0,9,2,11,765,8,3,1838,11,85.0,315000
541,2,997,2,1,0,2,2,56,2000.0,2,8,5,17,648,8,3,2285,17,70.04995836802665,248000
542,2,1680,2,1,0,2,0,73,1998.0,2,7,3,19,583,7,2,1680,18,78.0,213250
543,2,767,3,0,0,1,2,40,1998.0,3,7,2,19,367,4,1,767,19,34.0,133000
544,2,664,2,1,0,2,2,24,2006.0,2,7,2,11,426,7,2,1496,11,58.0,179665
545,2,1377,2,0,2,2,2,0,1988.0,2,7,2,29,786,9,3,2183,29,70.04995836802665,229000
